CATEGORY,QUESTION,ANSWER,image_file,has_image,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",6,images/image_3DR/fig11001.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",5,images/image_3DR/fig11002.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題 di解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを, \n選択肢から選んでください。",3,images/image_3DR/fig11003.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",2,images/image_3DR/fig11004.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",2,images/image_3DR/fig11005.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",6,images/image_3DR/fig11006.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",1,images/image_3DR/fig11007.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形 g描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",7,images/image_3DR/fig11008.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",3,images/image_3DR/fig11009.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",7,images/image_3DR/fig11010.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",1,images/image_3DR/fig11011.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",5,images/image_3DR/fig11012.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",7,images/image_3DR/fig11013.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",1,images/image_3DR/fig11014.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",6,images/image_3DR/fig11015.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",5,images/image_3DR/fig11016.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",2,images/image_3DR/fig11017.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",3,images/image_3DR/fig11018.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",5,images/image_3DR/fig11019.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
3DR,"以下のサイコロは全部、それぞれの面に違う図形が描かれています。\nサイコロXを回転させたものとしてふさわしいサイコロを、\n選択肢から選んでください。",6,images/image_3DR/fig11020.png,1,A,B,C,"D\nどれもふさわしくない",E,F,G,"H\n問題の解き方がわからない"
