CATEGORY,QUESTION,ANSWER,image_file,has_image,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8
MX,空欄に当てはまる図として正しいものはどれでしょうか。,4,images/image_MX/fig12043.png,1,A,B,C,D,E,F,この中には答えはない,わからない
MX,空欄に当てはまる図として正しいものはどれでしょうか。,3,images/image_MX/fig12044.png,1,A,B,C,D,E,F,この中には答えはない,わからない
MX,空欄に当てはまる図として正しいものはどれでしょうか。,5,images/image_MX/fig12045.png,1,A,B,C,D,E,F,この中には答えはない,わからない
MX,空欄に当てはまる図として正しいものはどれでしょうか。,2,images/image_MX/fig12046.png,1,A,B,C,D,E,F,この中には答えはない,わからない
MX,空欄に当てはまる図として正しいものはどれでしょうか。,2,images/image_MX/fig12047.png,1,A,B,C,D,E,F,この中には答えはない,わからない
MX,空欄に当てはまる図として正しいものはどれでしょうか。,4,images/image_MX/fig12048.png,1,A,B,C,D,E,F,この中には答えはない,わからない
MX,空欄に当てはまる図として正しいものはどれでしょうか。,5,images/image_MX/fig12050.png,1,A,B,C,D,E,F,この中には答えはない,わからない
MX,空欄に当てはまる図として正しいものはどれでしょうか。,3,images/image_MX/fig12053.png,1,A,B,C,D,E,F,この中には答えはない,わからない
MX,空欄に当てはまる図として正しいものはどれでしょうか。,1,images/image_MX/fig12054.png,1,A,B,C,D,E,F,この中には答えはない,わからない
MX,空欄に当てはまる図として正しいものはどれでしょうか。,4,images/image_MX/fig12055.png,1,A,B,C,D,E,F,この中には答えはない,わからない
MX,空欄に当てはまる図として正しいものはどれでしょうか。,5,images/image_MX/fig12056.png,1,A,B,C,D,E,F,この中には答えはない,わからない
