CATEGORY,QUESTION,ANSWER,image_file,has_image,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8
VR,900の、9分の1の4分の1の5分の1はなんでしょうか。,4,blank.png,0,2,3,4,5,6,7,この中には答えはない,わからない
VR,次の単語のうち、ひとつだけ性質が違うものを選んでください。,4,blank.png,0,スギ,ヒノキ,マツ,サクラ,シダ,カエデ,どれも一致する,わからない
VR,頑固な人の反対は、---人です。,1,blank.png,0,柔軟な,情熱的な,平凡な,控えめな,おかしな,しつこい,この中には答えはない,わからない
VR,ミシェルは96が好きですが、45は好きではありません。\nまた、540が好きですが、250は好きではありません。\nミシェルはどの数字が好きでしょうか？,5,blank.png,0,86,93,98,128,132,140,この中には答えはない,わからない
VR,アダムとメリッサは釣りに出かけて、人あわせて32匹のサケを釣りました。\nメリッサは、アダムの3倍の数のサケを釣りました。\nアダムは何匹のサケを釣りましたか。,2,blank.png,0,7匹,8匹,9匹,10匹,11匹,12匹,この中には答えはない,わからない
VR,ザックはマットより背が高く、リチャードはザックより背が低いです。\nこの情報からわかることとして、どれが最も正しいでしょうか。,4,blank.png,0,リチャードは\nマットより背が高い,リチャードは\nマットより背が低い,リチャードは\nマットと同じ背の高さである,この情報だけでは\nわからない,リチャードは\nザックより背が高い,ザックは\nマットより背が低い,この中には答えはない,わからない
VR,ジョシュアは12歳で、ジョシュアのお姉さんはその3倍の年齢です。\nジョシュアが23歳のとき、お姉さんは何歳でしょうか。,4,blank.png,0,1) 35歳,39歳,44歳,47歳,53歳,57歳,この中には答えはない,わからない
VR,１年のうち、6番目の月は何月でしょうか。,5,blank.png,0,9月,7月,5月,8月,6月,4月,この中には答えはない,わからない
VR,明後日が木曜日の2日前なら、今日は何日でしょうか。,6,blank.png,0,金曜日,月曜日,水曜日,土曜日,火曜日,日曜日,この中には答えはない,わからない
VR,次の単語のうち、ひとつだけ性質が違うものを選んでください。,5,blank.png,0,ブエノスアイレス,メルボルン,シアトル,カイロ,モロッコ,ミラノ,この中には答えはない,わからない
VR,「人当たりのよい人」の反対は、次のうちどのタイプの人であるか。\n空欄に最も当てはまる語を選べ。,5,blank.png,0,怒りっぽい人,社交的な人,礼儀正しい,いらだっている人,控えめな,恩知らずな人,どれでもない,わからない
VR,アイザックはジョージより背が低く、フィリップはジョージより背が高いです。\nこの情報からわかることとして、どれが最も正しいでしょうか。,1,blank.png,0,フィリップは\nアイザックより背が高い,フィリップは\nアイザックより背が低い,フィリップは\nアイザックと同じ背の高さである,この情報だけでは\nわからない,アイザックは\nジョージより背が高い,ジョージは\nフィリップより背が高い,この中には答えはない,わからない
VR,一昨日（おととい）が土曜日の3日後なら、今日は何日でしょう。,1,blank.png,0,木曜日,土曜日,水曜日,金曜日,日曜日,火曜日,この中には答えはない,わからない
VR,曖昧な状況の反対は、---状況です。,3,blank.png,0,不審な,漠然とした（ぼんやりとした）,明白な,知的な,疑わしい,本当の,この中には答えはない,わからない
VR,3頭の牛と4羽のニワトリがいます。\n足の数は牛とニワトリ全部であわせて何本でしょうか。,3,blank.png,0,16本,18本,20本,21本,22本,24本,この中には答えはない,わからない
VR,太陽から数えて4番目の惑星はなんでしょう。,5,blank.png,0,木星,土星,冥王星,地球,火星,金星,この中には答えはない,わからない
